              Cano            	              Atacante            	 37	25
              Pedro Raul            	              Atacante            	 34	19
              Calleri            	              Atacante            	 35	18
              Bissoli            	              Atacante            	 32	14
              Marcos Leonardo            	              Atacante            	 34	13
              Hulk            	              Atacante            	 25	12
              Terans            	              Meia Central            	 30	12
              Rony            	              Atacante            	 32	12
              Pedro            	              Atacante            	 24	11
              Gabriel            	              Atacante            	 29	11
              Luan Cândido            	              Lateral Esquerda            	 31	11
              Mendoza            	              Atacante            	 29	10
              Luciano            	              Atacante            	 30	10
              Róger Guedes            	              Atacante            	 35	10
              Gustavo Gómez            	              Zagueiro Direito            	 30	9
